departure location: 44-825 or 849-962
departure station: 26-296 or 316-965
departure platform: 46-889 or 896-949
departure track: 48-351 or 369-960
departure date: 25-869 or 884-966
departure time: 31-217 or 232-956
arrival location: 32-559 or 574-967
arrival station: 50-383 or 394-952
arrival platform: 29-128 or 150-962
arrival track: 30-630 or 647-957
class: 45-262 or 277-966
duration: 35-602 or 619-965
price: 41-913 or 926-966
route: 38-191 or 212-950
row: 25-509 or 523-965
seat: 39-783 or 802-973
train: 36-64 or 80-969
type: 42-750 or 767-974
wagon: 29-803 or 821-974
zone: 47-659 or 672-968

your ticket:
157,101,107,179,181,163,191,109,97,103,89,113,167,127,151,53,83,61,59,173

nearby tickets:
252,432,61,105,442,938,451,676,141,598,236,255,157,328,424,746,379,688,478,181
317,559,396,106,435,554,324,55,260,245,126,540,13,775,675,346,296,931,121,107
699,862,476,178,548,546,711,889,529,441,929,286,335,258,339,934,377,598,756,591
119,906,423,316,949,494,88,458,741,285,260,707,601,296,598,94,766,535,82,710
181,868,105,595,471,136,292,238,414,427,537,348,718,442,324,656,938,452,488,648
234,487,554,290,886,479,214,692,413,720,949,430,656,96,104,797,446,480,409,449
908,401,896,856,116,550,455,438,580,242,802,629,58,342,867,423,58,542,583,800
88,437,585,113,428,853,555,945,548,295,262,628,436,718,472,775,931,446,402,996
906,906,487,942,433,912,673,901,822,416,482,496,894,440,712,698,912,674,673,321
258,86,748,695,770,586,509,178,561,530,735,716,351,649,652,215,710,151,931,714
99,822,451,400,290,556,80,862,600,856,83,767,938,464,258,853,295,225,239,406
780,114,857,165,602,581,244,672,489,69,586,80,725,104,58,51,888,91,215,375
232,724,166,469,546,701,783,673,166,506,706,126,682,255,897,942,252,101,2,157
485,158,160,703,543,930,248,474,912,452,101,840,623,287,463,235,625,654,213,529
863,801,277,681,408,732,778,348,159,322,694,463,82,528,405,706,186,901,768,626
461,551,406,170,532,160,576,257,942,22,181,85,480,526,85,169,594,80,349,290
441,345,495,598,102,649,171,156,744,497,459,740,463,999,215,187,683,850,465,911
157,454,345,465,253,481,279,945,468,101,498,93,467,477,724,652,75,216,452,285
253,161,718,939,406,374,231,479,327,536,904,87,50,680,930,475,287,233,590,119
91,340,492,321,688,797,720,475,488,491,341,744,541,621,587,115,508,779,701,320
189,739,102,84,230,182,727,749,402,731,928,253,911,81,351,403,935,455,898,887
100,435,943,246,288,117,369,865,700,932,852,947,852,410,620,698,96,563,425,189
940,778,286,322,693,410,541,781,709,232,215,405,120,505,459,61,455,659,769,365
106,579,449,942,683,544,150,740,66,395,177,483,185,415,680,853,402,423,316,166
161,476,357,257,400,861,395,343,714,86,866,64,183,106,733,55,901,61,697,685
159,459,770,577,594,53,497,5,250,476,54,372,281,542,445,493,655,317,933,247
860,109,418,282,429,585,949,16,933,948,593,949,704,599,496,447,863,236,320,99
505,470,896,414,233,182,433,770,734,898,57,296,942,450,777,411,373,107,296,915
445,902,718,60,908,747,408,57,189,96,689,322,177,588,256,684,167,287,938,892
550,283,56,948,479,80,452,927,433,295,195,482,702,906,80,744,724,453,689,426
376,906,701,689,324,709,453,461,202,437,897,913,244,459,620,472,318,178,291,159
343,653,410,473,54,716,629,770,607,371,782,123,556,466,408,738,926,771,452,282
325,462,681,155,902,770,547,558,774,102,326,542,595,235,858,331,523,765,377,899
745,278,128,250,928,397,889,472,596,454,248,996,60,99,783,465,376,586,122,405
243,932,495,330,323,454,698,683,503,295,470,583,300,592,437,120,408,104,487,345
406,943,778,468,554,246,429,739,550,715,531,761,538,111,538,900,884,483,258,824
212,655,110,618,425,323,657,774,723,98,281,456,465,743,482,378,549,495,375,110
